transaction_id,sender_account,receiver_account,amount,timestamp,debit_status,credit_status,account_valid,beneficiary_match,retry_count,transaction_type,error_label
TXN000141,24604642,74731936,507000,2026-07-23 05:40:00,Success,Failed,True,True,2,Bank Transfer,Partial Processing
TXN000142,14654696,92501052,223000,2026-07-23 05:50:00,Success,Success,True,True,3,Bank Transfer,Successful Transfer
TXN000143,95829565,47578224,64000,2026-07-23 06:00:00,Success,Failed,False,False,4,Bank Transfer,Invalid Account
TXN000144,41156744,75688190,984000,2026-07-23 06:10:00,Failed,Failed,True,True,3,Bank Transfer,Insufficient Funds
TXN000145,17712867,35932610,493000,2026-07-23 06:20:00,Success,Failed,True,True,0,Bank Transfer,Network Timeout
TXN000146,55965713,42351661,67000,2026-07-23 06:30:00,Success,Success,True,True,4,Bank Transfer,Duplicate Transfer
TXN000147,55545758,71345907,509000,2026-07-23 06:40:00,Success,Failed,True,False,2,Bank Transfer,Beneficiary Mismatch
TXN000148,76145497,16193872,124000,2026-07-23 06:50:00,Success,Pending,True,True,4,Bank Transfer,Pending Settlement
TXN000149,68254209,46960359,454000,2026-07-23 07:00:00,Failed,Failed,True,True,4,Bank Transfer,Bank Service Unavailable
TXN000150,41987797,65895710,932000,2026-07-23 07:10:00,Success,Failed,True,True,4,Bank Transfer,Fraud Review Required
TXN000151,42824332,61144270,590000,2026-07-23 07:20:00,Success,Failed,True,True,2,Bank Transfer,Partial Processing
TXN000152,96393196,66362715,623000,2026-07-23 07:30:00,Success,Success,True,True,4,Bank Transfer,Successful Transfer
TXN000153,50811480,35714884,797000,2026-07-23 07:40:00,Success,Failed,False,False,2,Bank Transfer,Invalid Account
TXN000154,99227551,84394316,369000,2026-07-23 07:50:00,Failed,Failed,True,True,1,Bank Transfer,Insufficient Funds
TXN000155,56239224,69615235,979000,2026-07-23 08:00:00,Success,Failed,True,True,2,Bank Transfer,Network Timeout
TXN000156,77872883,88627907,667000,2026-07-23 08:10:00,Success,Success,True,True,1,Bank Transfer,Duplicate Transfer
TXN000157,61861383,60143838,966000,2026-07-23 08:20:00,Success,Failed,True,False,1,Bank Transfer,Beneficiary Mismatch
TXN000158,42989364,30253371,852000,2026-07-23 08:30:00,Success,Pending,True,True,1,Bank Transfer,Pending Settlement
TXN000159,52285781,16487926,663000,2026-07-23 08:40:00,Failed,Failed,True,True,0,Bank Transfer,Bank Service Unavailable
TXN000160,83129190,78957912,839000,2026-07-23 08:50:00,Success,Failed,True,True,0,Bank Transfer,Fraud Review Required
TXN000161,14213835,96903691,313000,2026-07-23 09:00:00,Success,Failed,True,True,2,Bank Transfer,Partial Processing
TXN000162,36332978,46363847,271000,2026-07-23 09:10:00,Success,Success,True,True,4,Bank Transfer,Successful Transfer
TXN000163,90169784,28747839,103000,2026-07-23 09:20:00,Success,Failed,False,False,0,Bank Transfer,Invalid Account
